"nama_usaha","alamat","lama usaha","tahun","kemitraan","aset (jutaan)","omzet (ribuan) perbulan","jml_naker","surat Izin"
"BATIK TULIS-HOLIYAH","DSN PANGPAJUNG (KECAMATAN MODUNG)","17","2006","8","650000000","10850000","2","tidak memiliki"
"BATIK TULIS -RUSMAY","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","22","2001","8","650000000","14500000","2","tidak memiliki"
"BATIK TULIS - ROMHIYAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","20","2003","8","650000000","14550000","2","tidak memiliki"
"BATIK TULIS SURIYEH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","16","2007","8","650000000","14550000","2","tidak memiliki"
"BATIK TULIS-ASIYAH","DSN NONG BADUNG (KECAMATAN TANJUNG BUMI)","21","2002","8","650000000","15750000","2","tidak memiliki"
"BATIK TULIS - ROHAYYAH","DSN PANGPAJUNG (KECAMATAN MODUNG)","18","2005","8","750000000","19150000","2","tidak memiliki"
"BATIK TULIS-MISNIYAH","DSN PANGPAJUNG (KECAMATAN MODUNG)","16","2007","8","750000000","21550000","2","tidak memiliki"
"BATIK TULIS-SUDEH","DSN PANGPAJUNG (KECAMATAN MODUNG)","21","2002","8","750000000","27650000","2","tidak memiliki"
"BATIK TULIS - SAHRATUN","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","29","1994","8","450000000","115000000","2","tidak memiliki"
"BATIK TULIS - PUSILA","DSN DENGKAH (KECAMATAN TANAH MERAH)","26","1997","8","450000000","396000000","2","tidak memiliki"
"BATIK TULIS-MARSIYAH","DSN NONG BENDUNG (KECAMATAN BURNEH)","16","2007","8","540000000","13500000","2","SIUP"
"BSTIK TULIS-H MARSUK A","DSN DENGKAH (KECAMATAN TANAH MERAH)","32","1991","8","635000000","19750000","2","tidak memiliki"
"BATIK TULIS-FADILAH","DSN DENGKAH (KECAMATAN TANAH MERAH)","26","1997","8","650000000","18500000","2","tidak memiliki"
"ABATIK TULIS - NURHAYTI","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","15","2008","8","650000000","18550000","2","tidak memiliki"
"PENGRAJIN BATIK TULIS-ATE","DUSUN KARANG BARAT (KECAMATAN TANJUNG BUMI)","44","1979","8","2600000000","150000000","2","tidak memiliki"
"BATIK TULIS - MAT DAHLI","DSN NONG BADUNG (KECAMATAN TANJUNG BUMI)","16","2007","8","620000000","17500000","2","tidak memiliki"
"BATIK TULIS - RASIDAH","DSN LARANGAN (KECAMATAN KLAMPIS)","26","1997","8","1500000000","45000000","2","tidak memiliki"
"BATIK TULIS - NURYANI","DSN LARANGAN (KECAMATAN KLAMPIS)","34","1989","8","3600000000","66000000","2","tidak memiliki"
"BATIK TULIS - HANIPAH","DSN LARANGAN (KECAMATAN KLAMPIS)","22","2001","8","2400000000","54000000","2","tidak memiliki"
"BATIK TULIS - RAIDAH","DSN LARANGAN (KECAMATAN KLAMPIS)","24","1999","8","3600000000","72000000","2","tidak memiliki"
"BATIK TULIS - RUWEIDEH","DSN LARANGAN (KECAMATAN KLAMPIS)","24","1999","8","3500000000","78000000","2","tidak memiliki"
"BATIK TULIS - RUSNANIK","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","36","1987","1","1000000000","80000000","2","tidak memiliki"
"PENGRAJIN BATIK TULIS-ROMIYAH","DUSUN KARANG BARAT (KECAMATAN TANJUNG BUMI)","16","2007","8","300000000","17000000","2","tidak memiliki"
"BATIK TULIS - SARIPAH","DSN LARANGAN (KECAMATAN KLAMPIS)","22","2001","8","3500000000","72000000","2","tidak memiliki"
"USAHA BATIK TULIS -IMAROH","DUSUN MONGGUH (KECAMATAN TANJUNG BUMI)","14","2009","8","138000000","48950000","2","tidak memiliki"
"BATIK TULIS - PATIYEH","DSN LARANGAN (KECAMATAN KLAMPIS)","32","1991","8","2160000000","90000000","2","tidak memiliki"
"BATIK TULIS MAR A","DSN LARANGAN (KECAMATAN KLAMPIS)","24","1999","8","2800000000","60000000","2","tidak memiliki"
"BATIK TULIS - HOMSIYEH","DSN LARANGAN (KECAMATAN KLAMPIS)","34","1989","8","3000000000","65000000","2","tidak memiliki"
"BATIK TULIS - SUMRIYEH","DSN LARANGAN (KECAMATAN KLAMPIS)","23","2000","8","3000000000","102000000","2","SIUP"
"BATIK TULIS - FUTIYEH H.","DSN LARANGAN (KECAMATAN KLAMPIS)","42","1981","8","3000000000","103000000","2","proses pengurusan"
"BATIK TULIS - HAMIDAH","DSN LARANGAN (KECAMATAN KLAMPIS)","25","1998","8","4000000000","76000000","2","tidak memiliki"
"USAHA BATIK TULIS -PARIDEH","DUSUN JAMBANGAN (KECAMATAN TANJUNG BUMI)","15","2008","8","105000000","39100000","2","tidak memiliki"
"USAHA BATIK TULIS - HJ MISARE","DUSUN MONGGUH (KECAMATAN TANJUNG BUMI)","25","1998","8","143000000","90000000","2","tidak memiliki"
"BATIK TULI - JUMARI","DSN LARANGAN (KECAMATAN KLAMPIS)","25","1998","8","2160000000","75600000","2","tidak memiliki"
"BATIK TULIS - RAHMAWATI","DSN LARANGAN (KECAMATAN KLAMPIS)","21","2002","8","3000000000","67200000","2","tidak memiliki"
"BATIK - RAMLI","DSN LARANGAN (KECAMATAN KLAMPIS)","21","2002","8","3000000000","70000000","2","tidak memiliki"
"BATIK TULIS - WIRAH","DSN LARANGAN (KECAMATAN KLAMPIS)","26","1997","8","3000000000","72000000","2","SIUP"
"BATIK TULIS - SUHANA","DSN LARANGAN (KECAMATAN KLAMPIS)","22","2001","8","3000000000","72000000","2","tidak memiliki"
"BATIK TULIS - MASIRAH","DSN LARANGAN (KECAMATAN KLAMPIS)","31","1992","8","3000000000","92400000","2","tidak memiliki"
"BATIK TULIS - MUSYAWEROH","DSN LARANGAN (KECAMATAN KLAMPIS)","22","2001","8","3000000000","92400000","2","tidak memiliki"
"BATIK TULIS - HAMIDAH","DSN LARANGAN (KECAMATAN KLAMPIS)","21","2002","8","3500000000","60000000","2","tidak memiliki"
"BATIK TULIS - MARSIYEH","DSN LARANGAN (KECAMATAN KLAMPIS)","26","1997","8","3500000000","66000000","2","tidak memiliki"
"BATIK TULIS - FUTIMA","DSN LARANGAN (KECAMATAN KLAMPIS)","21","2002","8","3600000000","72000000","2","tidak memiliki"
"BATIK TULIS - SUHRIYEH","DSN LARANGAN (KECAMATAN KLAMPIS)","23","2000","8","3800000000","96000000","2","SIUP"
"BATIK TULIS - SUTIMAH","DSN LARANGAN (KECAMATAN KLAMPIS)","31","1992","8","4200000000","117000000","2","tidak memiliki"
"BATIK TULIS - MUSYAWEROH","DSN LARANGAN (KECAMATAN KLAMPIS)","24","1999","8","5400000000","132000000","2","tidak memiliki"
"BATIK TULIS POTRE KONENG - HJ.WATIK","DSN TANJUNG (KECAMATAN TRAGAH)","23","2000","2","400000000","40000000","2","tidak memiliki"
"BATIK TULIS - TIRAHMAH","DSN LARANGAN (KECAMATAN KLAMPIS)","23","2000","8","216000000","90000000","2","tidak memiliki"
"BATIK TULIS - HATIPAH","DSN LARANGAN (KECAMATAN KLAMPIS)","22","2001","8","320000000","75000000","2","tidak memiliki"
"BATIK TULIS  - HOTIMAH","DSN LARANGAN (KECAMATAN KLAMPIS)","22","2001","8","450000000","72000000","2","tidak memiliki"
"BATIK TULIS - MANIYEH","DSN LARANGAN (KECAMATAN KLAMPIS)","22","2001","8","450000000","84000000","2","proses pengurusan"
"BATIK TULIS - AISYAH","DSN LARANGAN (KECAMATAN KLAMPIS)","26","1997","8","192000000","93000000","2","tidak memiliki"
"BATIK TULIS - MUSEIMAH","DSN LARANGAN (KECAMATAN KLAMPIS)","22","2001","8","216000000","75600000","2","tidak memiliki"
"BATIK TULIS - WESILAH","DSN LARANGAN (KECAMATAN KLAMPIS)","23","2000","8","330000000","96000000","2","tidak memiliki"
"BATIK TULIS - PARIDEH","DSN LARANGAN (KECAMATAN KLAMPIS)","25","1998","8","350000000","72000000","2","tidak memiliki"
"BATIK TULIS - RUMLAH","DSN LARANGAN (KECAMATAN KLAMPIS)","22","2001","8","350000000","72000000","2","tidak memiliki"
"BATIK TULIS - MUNIYEH","DSN LARANGAN (KECAMATAN KLAMPIS)","22","2001","8","350000000","75000000","2","tidak memiliki"
"BATIK TULIS - SUHRIYEH","DSN LARANGAN (KECAMATAN KLAMPIS)","23","2000","8","360000000","65000000","2","tidak memiliki"
"BATIK TULIS - SAMIYEH","DSN LARANGAN (KECAMATAN KLAMPIS)","26","1997","8","400000000","84000000","2","tidak memiliki"
"BATIK TULIS - SUHAIRIYEH","DSN LARANGAN (KECAMATAN KLAMPIS)","22","2001","8","540000000","78000000","2","tidak memiliki"
"BATIK TULIS - MUCHTAR","DSN PADANGDANG (KECAMATAN TRAGAH)","27","1996","4","150000000","42480000","2","tidak memiliki"
"BATIK TULIS - SATUMA","DSN TENGGINAH (KECAMATAN MODUNG)","21","2002","8","300000000","36000000","2","SIUP"
"BATIK TULIS - MASRIK","DSN TENGGINAH (KECAMATAN MODUNG)","17","2006","8","183600000","36000000","2","tidak memiliki"
"BATIK TULIS - MUSLIYEH","DSN LARANGAN (KECAMATAN KLAMPIS)","32","1991","8","240000000","54000000","2","tidak memiliki"
"BATIK TULIS - H. SANAPORAH","DSN LARANGAN (KECAMATAN KLAMPIS)","26","1997","8","240000000","54000000","2","tidak memiliki"
"BATIK TULIS - RUWEIDEH","DSN LARANGAN (KECAMATAN KLAMPIS)","22","2001","8","360000000","72000000","2","tidak memiliki"
"BATIK TULIS - MAISAROH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","13","2010","8","1500000000","132000000","2","SIUP"
"BATIK TULIS - MAI","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","12","2011","8","1720000000","288000000","2","SIUP"
"BATIK TULIS - MASTUHAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","12","2011","8","250000000","77500000","2","SIUP"
"BATIK TULIS - MARSUDI","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","27","1996","2","3000000000","270000000","2","SIUP"
"BATIK TULIS - HORIYAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","20","2003","8","67500000","14750000","2","SIUP"
"BATIK TULIS - HATIMAH","DSN DENGKAH (KECAMATAN TANAH MERAH)","31","1992","8","63500000","18500000","2","SIUP"
"BATIK TULIS - MISTIYEH","DSN LARANGAN (KECAMATAN KLAMPIS)","22","2001","8","350000000","90000000","2","SIUP"
"USAHA TEKSTIL-ROMLI","PASAR TANJUNG BUMI (KECAMATAN TANJUNG BUMI)","16","2007","8","1200000000","96000000","2","SIUP"
"USAHA TEKSTIL-H SU","PASAR TANJUNG BUMI (KECAMATAN TANJUNG BUMI)","14","2009","8","210000000","98400000","2","SIUP"
"USAHA TEKSTIL-HJ MISTORAH","PASAR TANJUNG BUMI (KECAMATAN TANJUNG BUMI)","25","1998","8","450000000","28800000","2","SIUP"
"USAHA TEKSTIL-ZAINAB","PASAR TANJUNG BUMI (KECAMATAN TANJUNG BUMI)","24","1999","8","500000000","162000000","2","SIUP"
"USAHA BATIK - NINGSIH","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","25","1998","8","315000000","30000000","2","SIUP"
"USAHA INDUSTRI BATIK-MUSAYAROH","DUSUN BUDDUK (KECAMATAN TANJUNG BUMI)","16","2007","8","200000000","30000000","2","tidak memiliki"
"USAHA BATIK - RUSTIYAH","DUSUN MASARAN (KECAMATAN TANJUNG BUMI)","24","1999","8","260000000","32000000","2","tidak memiliki"
"USAHA BATIK -AZIZAH","DUSUN MASARAN (KECAMATAN TANJUNG BUMI)","23","2000","8","400000000","28000000","2","tidak memiliki"
"BATIK-SORAYA","DSN KRAMAT (KECAMATAN BANGKALAN)","23","2000","8","1500000000","71500000","2","tidak memiliki"
"USAHA BATIK - MARIDAH","DSN.  PANGTENGGIH (KECAMATAN TANJUNG BUMI)","14","2009","8","1745000000","45600000","2","tidak memiliki"
"USAHA BATIK -ASMA","DUSUN MASARAN (KECAMATAN TANJUNG BUMI)","24","1999","7","240000000","30000000","2","tidak memiliki"
"MEMBATIK - YULIATI","DUSUN MASARAN (KECAMATAN TANJUNG BUMI)","22","2001","8","230000000","24000000","2","tidak memiliki"
"BATIK TULIS -HJ.HAMIDAH","DUSUN BATES (KECAMATAN TANJUNG BUMI)","33","1990","8","850000000","57000000","2","tidak memiliki"
"USAHA BATIK - MASKUNAH","DSN. DABUNG (KECAMATAN TANJUNG BUMI)","17","2006","8","4500000000","68000000","2","tidak memiliki"
"USAHA BATIK-MUDINA","DUSUN BUDDUK (KECAMATAN TANJUNG BUMI)","16","2007","8","350000000","45000000","2","tidak memiliki"
"USAHA BATIK - SUNAISEH","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","24","1999","8","175000000","34000000","2","tidak memiliki"
"USAHA BATIK - TIRASMA","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","25","1998","8","185000000","32000000","2","tidak memiliki"
"USAHA BATIK - SUMAIDAH","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","17","2006","8","200000000","35000000","2","tidak memiliki"
"USAHA BATIK - JUMRIYAH","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","24","1999","8","210000000","32000000","2","tidak memiliki"
"USAHA BATIK - SUMIATI","DUSUN MASARAN (KECAMATAN TANJUNG BUMI)","23","2000","8","215000000","25000000","2","tidak memiliki"
"USAHA BATIK - SYAMSIYAH","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","18","2005","8","215000000","34000000","2","tidak memiliki"
"USAHA BATIK - SATUMA","DUSUN MASARAN (KECAMATAN TANJUNG BUMI)","24","1999","8","230000000","25000000","2","tidak memiliki"
"USAHA BATIK - SUSILAWATI","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","23","2000","8","275000000","34000000","2","SIUP"
"USAHA BATIK - B. SUMARMI","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","20","2003","8","315000000","33500000","2","tidak memiliki"
"USAHA BATIK - RASMANI","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","25","1998","8","315000000","35000000","2","tidak memiliki"
"USAHA BATIK - MISAROH","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","24","1999","8","345000000","29000000","2","tidak memiliki"
"USAHA BATIK - MUSRIPAH","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","27","1996","8","350000000","35000000","2","tidak memiliki"
"USAHA BATIK - SANERA","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","20","2003","8","371000000","33000000","2","tidak memiliki"
"USAHA BATIK - TINI","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","24","1999","8","450000000","33500000","2","tidak memiliki"
"USAHA BATIK - MASLUHAN","DSN. PANDIYAN (KECAMATAN TANJUNG BUMI)","30","1993","8","720000000","29150000","2","SIUP"
"USAHA BATIK - JUMROTUN","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","23","2000","8","180000000","24000000","2","proses pengurusan"
"USAHA BATIK - JEMILAH","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","22","2001","8","190000000","30000000","2","tidak memiliki"
"USAHA BATIK - NURSARI","DUSUN MASARAN (KECAMATAN TANJUNG BUMI)","23","2000","8","200000000","29000000","2","tidak memiliki"
"USAHA BATIK - MESRIYEH","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","23","2000","8","200000000","29000000","2","tidak memiliki"
"USAHA BATIK - SUNARSIH","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","25","1998","8","200000000","31000000","2","tidak memiliki"
"USAHA BATIK - MAIRAH","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","26","1997","8","220000000","32000000","2","tidak memiliki"
"USAHA BATIK - JUMRIYEH","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","21","2002","8","125000000","37000000","2","tidak memiliki"
"USAHA BATIK - MONALISA","DUSUN MASARAN (KECAMATAN TANJUNG BUMI)","24","1999","8","135000000","30000000","2","SIUP"
"USAHA BATIK - ROHELAH","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","24","1999","8","165000000","32000000","2","tidak memiliki"
"USAHA BATIK - PATMA","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","26","1997","8","200000000","32000000","2","tidak memiliki"
"USAHA BATIK - MUZEYEROJ","DUSUN MASARAN (KECAMATAN TANJUNG BUMI)","24","1999","8","210000000","30000000","2","tidak memiliki"
"USAHA BATIK - MISURAH","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","26","1997","8","215000000","35000000","2","tidak memiliki"
"USAHA BATIK - SUMIYAH","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","18","2005","8","215000000","35000000","2","tidak memiliki"
"USAHA BATIK - ROFITA","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","23","2000","8","230000000","32000000","2","tidak memiliki"
"USAHA BATIK -EMMIS","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","22","2001","8","230000000","36000000","2","SIUP"
"USAHA BATIK - RODIYAH","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","24","1999","8","250000000","30000000","2","tidak memiliki"
"USAHA BATIK - SUTIMAH","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","19","2004","8","250000000","32000000","2","tidak memiliki"
"USAHA BATIK - SATTIMA","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","25","1998","8","250000000","33000000","2","tidak memiliki"
"USAHA BATIK - NASIYAH","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","26","1997","8","270000000","30000000","2","tidak memiliki"
"USAHA BATIK - SUTIYAH","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","22","2001","8","275000000","28500000","2","tidak memiliki"
"USAHA BATIK - ROHEMAH","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","23","2000","8","280000000","30000000","2","tidak memiliki"
"USAHA BATIK - ATIYAH","DUSUN MASARAN (KECAMATAN TANJUNG BUMI)","26","1997","8","300000000","27000000","2","SIUP"
"USAHA BATIK - TIPAH","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","19","2004","8","300000000","32000000","2","tidak memiliki"
"USAHA BATIK - TUTIK","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","24","1999","8","300000000","35000000","2","tidak memiliki"
"USAHA BATIK - JUNAIDAH","DUSUN MASARAN (KECAMATAN TANJUNG BUMI)","22","2001","8","310000000","25000000","2","tidak memiliki"
"USAHA BATIK - HOTIMAH","DUSUN MASARAN (KECAMATAN TANJUNG BUMI)","24","1999","8","315000000","26000000","2","tidak memiliki"
"USAHA BATIK - TIRASMA","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","25","1998","8","320000000","30000000","2","tidak memiliki"
"USAHA BATIK - TIHA","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","17","2006","8","345000000","32000000","2","tidak memiliki"
"USAHA BATIK - HJ. HAMEDEH","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","26","1997","8","370000000","40000000","2","tidak memiliki"
"USAHA BATIK - SATIMA","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","18","2005","8","400000000","30000000","2","tidak memiliki"
"USAHA BATIK - HALIMA","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","26","1997","8","560000000","28000000","2","tidak memiliki"
"USAHA BATIK - MISAK","DUSUN MASARAN (KECAMATAN TANJUNG BUMI)","24","1999","8","750000000","23000000","2","tidak memiliki"
"USAHA BATIK - SUMIATI","DUSUN MASARAN (KECAMATAN TANJUNG BUMI)","24","1999","8","200000000","28000000","2","tidak memiliki"
"USAHA BATIK - MAE","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","24","1999","8","200000000","29000000","2","tidak memiliki"
"USAHA BATIK - SARIPAH","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","25","1998","8","200000000","30000000","2","tidak memiliki"
"USAHA BATIK - SUMAROTI","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","23","2000","8","200000000","30000000","2","tidak memiliki"
"USAHA BATIK - ISEH","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","20","2003","8","200000000","32000000","2","tidak memiliki"
"USAHA BATIK - MISTURAH","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","26","1997","8","220000000","30000000","2","tidak memiliki"
"USAHA BATIK - SIYAMAH","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","25","1998","8","220000000","32000000","2","tidak memiliki"
"USAHA BATIK - MAYATIK","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","24","1999","8","220000000","35000000","2","tidak memiliki"
"USAHA BATIK - SIYA","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","26","1997","8","235000000","35000000","2","SIUP"
"USAHA BATIK - MONALISA","DUSUN PENGALANGAN (KECAMATAN TANJUNG BUMI)","24","1999","8","235000000","35000000","2","SIUP"
"BATIK TULIS - MARYEMAH","DSN TENGGINAH (KECAMATAN MODUNG)","16","2007","8","320000000","36000000","2","SIUP"
"BATIK TULIS - HABIBEH","DSN TENGGINAH (KECAMATAN MODUNG)","27","1996","8","340000000","66000000","2","SIUP"
"BATIK TULIS - SULIJEH","DSN TENGGINAH (KECAMATAN MODUNG)","22","2001","8","400000000","32000000","2","SIUP"
"BATIK TULIS - RAHMA","DSN TENGGINAH (KECAMATAN MODUNG)","19","2004","8","400000000","36000000","2","SIUP"
"BATIK TULIS - KIPTIYEH","DSN TENGGINAH (KECAMATAN MODUNG)","33","1990","8","400000000","66000000","2","SIUP"
"BATIK TULIS - SUTIYEH","DSN LARANGAN (KECAMATAN KLAMPIS)","26","1997","8","400000000","68000000","2","SIUP"
"BATIK TULIS - YERAH","DSN LARANGAN (KECAMATAN KLAMPIS)","21","2002","8","400000000","68000000","2","SIUP"
"BATIK TULIS - ROMAYYEH","DSN TENGGINAH (KECAMATAN MODUNG)","24","1999","8","420000000","22280000","2","SIUP"
"BATIK TULIS - ARIYEH","DSN TENGGINAH (KECAMATAN MODUNG)","30","1993","8","470000000","66000000","2","SIUP"
"BATIK TULIS - HAMIDEH","DSN TENGGINAH (KECAMATAN MODUNG)","21","2002","8","183600000","36000000","2","SIUP"
"BATI TULIS - SUHRIYEH","DSN LARANGAN (KECAMATAN KLAMPIS)","46","1977","8","270000000","72000000","2","SIUP"
"BATIK TULIS - H. TIMAH","DSN LARANGAN (KECAMATAN KLAMPIS)","21","2002","8","550800000","108000000","2","proses pengurusan"
"BATIK TULIS - MARHOSEH","DSN LARANGAN (KECAMATAN KLAMPIS)","25","1998","8","300000000","32000000","2","SIUP"
"BATIK TULIS - SITI ROHMAH","DSN LARANGAN (KECAMATAN KLAMPIS)","15","2008","8","300000000","63000000","2","SIUP"
"BATIK TULIS - HOSNIYEH","DSN LARANGAN (KECAMATAN KLAMPIS)","23","2000","8","400000000","32000000","2","SIUP"
"BATIK TULIS - SAPIYEH","DSN LARANGAN (KECAMATAN KLAMPIS)","26","1997","8","450000000","32000000","2","SIUP"
"BATIK TULIS - HOLIPAH","DSN LARANGAN (KECAMATAN KLAMPIS)","21","2002","8","470000000","30000000","2","SIUP"
"BATIK TULIS - PARHAH","DSN LARANGAN (KECAMATAN KLAMPIS)","17","2006","8","183600000","36000000","2","SIUP"
"BATIK TULIS - WEHID","DSN TENGGINAH (KECAMATAN MODUNG)","14","2009","8","183600000","36000000","2","SIUP"
"BATIK TULIS - HURIYAH","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","30","1993","8","56000000","100800000","1","SIUP"
"BATIK TULIS - MUSEYENAH","DSN MANGKON (KECAMATAN AROSBAYA)","21","2002","8","67000000","19940000","1","SIUP"
"BATIK TULIS- MUNIYAH","DSN PANG PAJUNG (KECAMATAN MODUNG)","16","2007","8","75000000","19500000","1","SIUP"
"BATIK TULIS- ROMAYYEH","DSN PANGPAJUNG (KECAMATAN MODUNG)","14","2009","8","75000000","20150000","1","SIUP"
"BATIK TULIS - SANAWIYEH","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","29","1994","8","52000000","32000000","1","SIUP"
"BATIK TULIS - SUMRIYA","DSN MANGKON (KECAMATAN AROSBAYA)","20","2003","8","56000000","22470000","1","SIUP"
"BATIK TULIS - SATIMAH","DSN MANGKON (KECAMATAN AROSBAYA)","38","1985","8","62000000","20110000","1","SIUP"
"USAHA BATIK - MEGA","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","24","1999","8","198000000","35000000","1","SIUP"
"USAHA BATIK TULIS -EKA","DUSUN JAMBANGAN (KECAMATAN TANJUNG BUMI)","14","2009","8","185000000","49900000","1","SIUP"
"USAHA BATIK TULIS-NURHAYATI","DUSUN MONGGUH (KECAMATAN TANJUNG BUMI)","45","1978","8","208000000","28800000","1","SIUP"
"USAHA BATIK - FATMIYAH","DSN. TANAH MERAH (KECAMATAN KLAMPIS)","29","1994","8","85000000","27500000","1","SIUP"
"USAHA BATIK TULIS/ HASIZEH","DSN JATREBUNG (KECAMATAN TANJUNG BUMI)","33","1990","4","56000000","32600000","1","SIUP"
"BATIK TULIS - SUPATMA","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","30","1993","8","55000000","45000000","1","SIUP"
"BATIK TULIS - ZAHROH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","48","1975","1","100000000","18000000","1","tidak memiliki"
"BATIK TULISHJ.ROFIAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","12","2011","1","120000000","22500000","1","tidak memiliki"
"BATIK TULIS - MAISUNAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","49","1974","1","120000000","27000000","1","SIUP"
"BATIK TULIS - HJ.NAIMAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","38","1985","1","125000000","12000000","1","tidak memiliki"
"BATIK TULIS - RAMIYAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","14","2009","1","125000000","20000000","1","tidak memiliki"
"BATIK TULIS - FUSARAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","38","1985","1","125000000","23500000","1","tidak memiliki"
"BATIK TULIS - JUMARI","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","34","1989","1","125000000","27500000","1","tidak memiliki"
"BATIK TULIS - HATIMAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","25","1998","1","125000000","31000000","1","tidak memiliki"
"BATIK TULIS - HERMIN","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","29","1994","1","135000000","30000000","1","tidak memiliki"
"BATIK TULIS - JUHAIRIYAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","44","1979","1","140000000","17500000","1","SIUP"
"BATIK TULIS - RAHMATIN","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","52","1971","1","140000000","24000000","1","SIUP"
"BATIK TULIS -MARSATI","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","14","2009","1","150000000","18000000","1","SIUP"
"BATIK TULIS - SUTARI","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","48","1975","1","150000000","28500000","1","SIUP"
"BATIK TULIS - JUMA IAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","33","1990","1","170000000","20000000","1","SIUP"
"BATIK TULIS - JUHAIRIYAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","33","1990","1","175000000","28800000","1","SIUP"
"BATIK TULIS - MARYAM","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","45","1978","1","200000000","17500000","1","SIUP"
